,id,carat,depth,table,cut_c,color_c,clarity_c
0,0,0.3,60.0,56.0,4,2,1
1,1,0.34,62.1,57.0,4,6,7
2,2,1.57,60.3,58.0,2,1,3
3,3,0.31,61.8,57.0,4,2,3
4,4,1.51,64.0,60.0,1,1,6
5,5,0.7,59.6,63.0,2,5,2
6,6,0.51,58.3,61.0,3,4,1
7,7,1.55,59.0,58.0,2,1,4
8,8,0.41,62.2,57.0,4,6,2
9,9,0.3,62.5,58.0,2,2,3
10,10,1.23,61.3,57.0,2,3,6
11,11,2.54,63.5,56.0,2,2,1
12,12,0.9,59.8,58.0,3,5,2
13,13,0.9,62.2,65.0,1,5,2
14,14,0.76,62.0,58.0,2,4,3
15,15,0.3,62.7,57.0,4,4,3
16,16,2.01,58.7,59.0,1,5,2
17,17,0.8,62.7,57.0,4,6,2
18,18,0.71,60.7,58.0,2,5,3
19,19,1.7,60.9,57.0,4,0,2
20,20,2.34,61.5,60.0,3,1,0
21,21,1.52,62.2,55.0,4,4,4
22,22,1.1,60.4,61.0,2,1,2
23,23,1.23,63.6,60.0,1,0,3
24,24,0.73,60.1,56.0,4,5,2
25,25,1.35,62.4,58.0,3,2,2
26,26,1.04,61.6,55.0,4,3,3
27,27,0.38,60.2,58.0,3,5,4
28,28,0.38,58.7,61.0,2,6,3
29,29,0.9,61.3,61.0,2,3,4
30,30,1.21,61.1,57.0,3,4,4
31,31,0.23,63.1,56.0,2,4,5
32,32,1.09,62.0,56.0,2,1,3
33,33,0.56,60.5,57.0,4,6,2
34,34,0.55,62.2,55.0,4,5,4
35,35,0.31,62.2,56.0,2,3,5
36,36,0.53,61.7,58.0,4,5,3
37,37,1.11,61.5,57.6,2,3,4
38,38,1.1,61.7,56.0,4,1,1
39,39,2.42,62.3,57.0,4,2,1
40,40,0.5,60.6,57.0,4,6,4
41,41,0.3,63.5,57.0,2,5,6
42,42,0.39,61.8,55.9,4,0,3
43,43,0.3,60.9,56.0,4,4,7
44,44,0.32,63.4,55.0,2,5,2
45,45,1.59,62.4,55.0,4,0,2
46,46,2.09,59.8,59.0,3,3,1
47,47,1.51,61.1,60.0,3,1,5
48,48,0.28,61.8,54.0,4,4,3
49,49,0.4,62.1,57.0,2,0,4
50,50,1.08,61.0,58.0,2,4,6
51,51,1.02,61.2,56.0,4,3,0
52,52,0.7,61.8,56.0,4,1,5
53,53,0.91,62.2,59.0,3,6,1
54,54,1.09,61.6,55.0,4,4,1
55,55,0.61,62.4,55.0,4,4,3
56,56,1.02,60.3,58.0,3,6,1
57,57,0.36,62.5,60.0,3,3,7
58,58,1.56,61.7,59.0,3,1,4
59,59,0.3,62.2,60.0,3,5,3
60,60,1.27,61.8,60.0,2,0,3
61,61,1.44,63.2,55.0,4,3,0
62,62,0.32,61.6,57.0,4,3,4
63,63,0.9,62.4,61.0,1,1,6
64,64,1.32,65.2,58.0,0,5,1
65,65,1.08,61.3,56.0,4,6,2
66,66,1.5,62.2,54.0,4,1,4
67,67,0.58,62.2,58.0,3,5,4
68,68,1.51,63.2,60.0,2,4,1
69,69,1.09,61.6,54.0,4,4,1
70,70,1.58,59.6,59.0,3,6,1
71,71,1.01,63.2,58.0,2,4,4
72,72,1.25,60.1,60.0,3,1,1
73,73,1.01,60.3,57.0,3,6,1
74,74,0.52,60.8,55.0,4,5,2
75,75,0.7,62.3,55.0,4,6,3
76,76,1.51,67.8,59.0,0,4,0
77,77,1.09,61.2,62.0,3,2,1
78,78,0.31,62.3,53.8,4,1,3
79,79,0.31,60.5,58.0,3,2,7
80,80,0.41,61.3,56.0,4,1,6
81,81,0.71,64.0,61.0,1,2,2
82,82,0.35,63.3,55.0,1,6,1
83,83,0.91,64.0,57.0,1,4,2
84,84,0.7,62.1,53.0,4,3,5
85,85,1.07,59.4,57.0,4,4,2
86,86,0.73,61.9,57.0,4,3,6
87,87,0.71,61.3,58.0,4,2,2
88,88,0.53,63.0,57.0,4,5,1
89,89,0.66,61.3,57.0,4,6,5
90,90,0.58,60.9,55.0,4,4,2
91,91,0.32,62.5,56.0,4,4,3
92,92,0.32,63.9,58.0,1,6,1
93,93,1.11,62.2,56.0,4,5,3
94,94,0.31,61.6,59.0,2,5,3
95,95,0.36,60.1,56.0,4,4,4
96,96,1.01,62.4,57.0,4,2,1
97,97,1.03,61.2,56.0,4,2,3
98,98,0.82,59.9,57.0,3,2,2
99,99,1.05,62.3,57.0,3,2,3
100,100,0.71,61.6,61.0,2,3,2
101,101,1.01,66.4,57.0,0,2,2
102,102,1.51,59.1,58.0,1,2,4
103,103,0.27,62.1,57.0,4,5,5
104,104,1.12,61.2,60.0,3,6,1
105,105,0.32,62.2,56.0,4,6,3
106,106,0.24,62.9,59.0,2,5,5
107,107,1.39,60.8,58.0,3,0,4
108,108,0.3,63.2,58.0,1,3,6
109,109,0.73,61.7,57.0,4,3,6
110,110,0.38,61.0,58.0,3,3,4
111,111,1.01,62.9,59.0,3,4,2
112,112,0.31,62.4,57.0,4,6,3
113,113,0.43,62.1,56.0,4,5,1
114,114,0.47,60.3,57.0,4,6,3
115,115,0.24,61.4,60.0,2,6,3
116,116,0.32,61.9,56.0,4,5,3
117,117,0.3,62.2,55.0,4,4,3
118,118,1.03,62.2,60.0,3,2,2
119,119,0.53,60.4,56.0,4,3,5
120,120,0.55,60.2,58.0,3,4,2
121,121,0.43,59.8,58.0,3,4,3
122,122,0.41,61.8,57.0,4,4,3
123,123,2.0,60.1,62.0,3,3,1
124,124,0.36,63.3,56.0,2,3,2
125,125,0.31,62.8,55.0,2,1,4
126,126,0.9,61.8,58.0,2,1,2
127,127,1.01,63.6,57.0,1,6,1
128,128,0.43,62.0,55.0,4,3,6
129,129,1.14,59.7,58.0,3,5,5
130,130,0.33,61.9,59.0,3,3,3
131,131,1.51,62.1,54.0,4,3,3
132,132,1.5,60.8,60.0,1,2,2
133,133,0.3,62.9,58.0,3,3,7
134,134,0.7,62.8,56.0,2,5,3
135,135,0.5,61.0,59.0,3,5,3
136,136,0.91,62.8,57.0,4,4,3
137,137,0.51,62.9,54.0,2,3,3
138,138,0.93,61.7,60.0,3,3,1
139,139,0.53,62.0,60.0,4,3,2
140,140,0.28,60.3,57.0,4,5,5
141,141,1.14,59.3,59.0,3,2,2
142,142,0.31,62.9,58.0,2,3,5
143,143,0.31,61.9,54.5,4,1,4
144,144,1.12,61.9,58.0,3,1,3
145,145,0.35,54.6,59.0,0,4,6
146,146,1.05,61.9,57.0,4,3,3
147,147,1.02,62.1,59.0,2,3,6
148,148,0.8,61.6,57.0,4,4,5
149,149,1.51,63.1,56.0,2,4,5
150,150,1.01,60.3,59.0,3,2,1
151,151,1.01,64.9,56.0,0,2,1
152,152,1.11,61.0,59.0,3,2,0
153,153,0.32,62.5,55.0,4,1,6
154,154,2.02,58.7,62.0,2,2,1
155,155,1.07,62.1,57.0,4,2,2
156,156,0.3,62.9,57.0,4,2,2
157,157,0.33,59.9,56.0,4,4,4
158,158,0.71,63.5,58.0,2,0,2
159,159,0.35,61.5,57.0,4,4,3
160,160,0.34,62.3,55.0,4,2,4
161,161,0.71,61.6,55.0,4,3,3
162,162,1.2,63.6,57.0,1,4,6
163,163,0.46,61.7,59.0,3,5,4
164,164,1.34,62.3,59.0,2,6,1
165,165,1.57,61.7,55.0,4,3,2
166,166,0.75,59.4,59.0,2,6,5
167,167,0.72,62.9,57.0,2,5,3
168,168,0.31,62.8,58.0,2,2,2
169,169,0.45,61.9,54.0,4,1,4
170,170,0.3,61.9,56.0,4,1,1
171,171,0.9,63.3,55.0,2,4,2
172,172,0.32,60.5,58.0,3,5,6
173,173,0.42,62.5,54.0,4,3,4
174,174,0.35,61.4,56.0,4,5,7
175,175,0.72,60.2,60.0,3,6,3
176,176,0.7,60.9,58.0,2,0,4
177,177,1.53,62.4,59.0,3,1,4
178,178,0.3,61.7,61.0,3,5,1
179,179,0.71,61.1,54.0,4,4,6
180,180,0.33,61.5,57.0,4,1,3
181,181,0.5,63.2,60.0,2,6,3
182,182,1.18,59.7,58.0,3,3,5
183,183,0.3,63.0,56.0,2,6,5
184,184,2.51,62.3,57.0,3,1,1
185,185,1.0,63.8,56.0,2,4,2
186,186,0.55,58.7,57.0,3,6,5
187,187,0.7,63.9,53.0,1,4,3
188,188,0.37,62.4,59.0,3,4,2
189,189,1.21,62.6,56.0,4,3,4
190,190,1.22,61.8,58.0,2,3,2
191,191,0.79,61.4,58.0,3,5,1
192,192,1.3,57.1,63.0,1,6,1
193,193,0.61,62.4,57.0,3,6,4
194,194,0.41,60.0,57.0,2,2,3
195,195,0.83,62.5,54.0,3,6,2
196,196,0.32,61.1,59.0,3,1,2
197,197,0.9,62.0,61.0,2,1,4
198,198,0.24,62.9,56.0,2,6,4
199,199,0.4,62.0,57.0,2,5,3
200,200,1.01,60.0,57.0,4,4,1
201,201,1.29,57.9,61.0,1,1,3
202,202,0.92,62.5,58.0,3,2,5
203,203,1.64,59.5,58.0,3,5,2
204,204,0.6,62.1,57.0,4,3,3
205,205,0.41,60.8,56.0,4,4,3
206,206,0.31,61.3,55.0,4,4,7
207,207,0.3,61.5,57.0,4,0,7
208,208,0.7,60.8,56.0,2,3,4
209,209,0.43,61.2,56.0,2,5,6
210,210,0.52,63.0,56.0,2,3,3
211,211,0.72,61.1,56.0,4,2,2
212,212,0.7,61.7,59.0,3,2,3
213,213,0.56,62.8,57.6,2,5,2
214,214,0.52,61.8,56.0,4,2,3
215,215,0.88,59.1,58.0,2,5,1
216,216,0.35,60.8,58.0,3,5,4
217,217,0.24,61.2,55.0,2,5,6
218,218,0.39,62.1,56.0,4,6,5
219,219,0.83,59.2,60.0,3,5,1
220,220,0.53,61.6,57.0,4,3,4
221,221,1.01,64.2,58.0,1,4,2
222,222,0.77,59.4,64.0,1,3,4
223,223,0.32,62.6,58.0,2,6,2
224,224,0.6,61.9,54.9,4,5,5
225,225,0.47,60.9,59.0,2,4,5
226,226,0.35,61.4,58.0,2,5,3
227,227,0.34,61.4,55.0,4,6,3
228,228,1.11,61.6,56.0,4,2,2
229,229,0.73,61.5,55.0,4,1,4
230,230,0.55,60.4,59.0,2,6,3
231,231,2.05,63.4,58.0,2,3,2
232,232,1.19,61.9,56.0,4,5,1
233,233,0.31,62.2,56.0,3,5,5
234,234,0.38,59.5,57.0,2,5,7
235,235,0.9,61.5,57.0,4,3,1
236,236,1.62,59.4,58.0,3,3,4
237,237,1.08,58.0,61.0,1,4,1
238,238,0.4,62.1,53.0,4,3,6
239,239,0.34,61.5,55.0,3,4,4
240,240,1.02,60.0,62.0,3,6,1
241,241,0.71,62.1,60.0,2,4,5
242,242,0.9,63.1,61.0,1,5,2
243,243,1.51,60.5,60.0,2,1,4
244,244,1.14,61.7,63.0,1,6,7
245,245,1.01,61.6,60.0,2,6,2
246,246,0.7,61.4,57.0,4,3,1
247,247,0.56,61.6,57.0,4,6,4
248,248,0.4,61.7,55.0,4,3,6
249,249,0.31,62.4,55.0,4,4,6
250,250,0.71,63.3,57.0,2,4,3
251,251,0.72,61.1,56.0,4,5,3
252,252,0.54,62.3,55.0,4,3,4
253,253,0.7,63.1,57.0,1,4,5
254,254,0.31,61.7,56.0,4,5,3
255,255,0.56,61.1,55.0,4,1,6
256,256,0.38,62.5,58.0,3,1,3
257,257,0.3,64.5,49.0,0,5,2
258,258,0.31,59.3,59.0,3,5,2
259,259,0.93,62.6,57.0,2,6,1
260,260,0.39,58.0,61.0,3,4,7
261,261,0.75,62.3,59.0,2,3,2
262,262,0.32,60.7,56.0,4,4,7
263,263,2.12,62.4,57.0,4,2,1
264,264,2.32,62.1,58.0,3,1,1
265,265,1.05,65.6,58.0,0,3,4
266,266,1.01,59.7,57.0,2,6,2
267,267,0.31,61.0,61.0,2,2,2
268,268,0.55,61.2,55.0,4,4,3
269,269,0.7,62.1,55.0,4,6,1
270,270,0.3,62.5,53.0,4,3,5
271,271,0.41,61.2,57.0,2,4,4
272,272,1.2,60.8,60.0,3,2,2
