,id,carat,depth,table,cut_c,color_c,clarity_c,y
0,0,1.21,63.0,57.0,4,2,3,6134
1,1,0.28,64.0,56.0,2,6,5,532
2,2,0.42,61.2,58.0,3,4,4,1103
3,3,0.26,61.1,57.0,4,2,7,600
4,4,1.1,63.4,57.0,1,3,2,4997
5,5,0.35,62.2,56.0,4,4,2,583
6,6,0.31,62.3,54.0,4,1,3,452
7,7,0.43,60.2,57.0,3,2,2,919
8,8,0.51,60.4,59.0,3,1,1,956
9,9,1.22,61.9,55.7,4,1,4,6469
10,10,0.41,63.2,57.0,2,6,2,947
11,11,0.33,61.9,59.0,3,3,6,1114
12,12,0.93,62.5,55.0,4,1,2,3856
13,13,0.71,61.6,57.0,4,2,4,2175
14,14,0.47,62.2,53.0,4,3,5,1618
15,15,1.71,60.6,57.0,3,1,1,9760
16,16,0.33,60.1,63.0,2,5,5,981
17,17,1.26,61.7,60.0,2,3,2,6733
18,18,0.75,60.9,58.0,3,3,2,2631
19,19,0.76,61.4,57.0,2,2,2,2557
20,20,0.31,62.4,53.0,4,5,5,791
21,21,0.7,58.7,60.0,3,4,5,3062
22,22,0.3,61.6,57.0,4,6,5,814
23,23,0.28,60.2,56.0,4,4,4,598
24,24,0.9,62.7,56.0,4,5,3,4770
25,25,0.51,62.5,56.0,4,0,2,988
26,26,0.71,61.1,60.0,2,1,3,2384
27,27,0.57,60.9,56.0,4,2,6,1949
28,28,0.71,60.5,62.0,2,4,1,2138
29,29,0.72,63.3,56.0,2,5,2,3183
30,30,0.36,62.3,57.0,4,3,4,678
31,31,0.3,61.9,58.0,4,2,4,545
32,32,0.9,59.3,59.0,2,1,3,3992
33,33,0.7,59.2,59.0,1,6,6,4198
34,34,0.38,60.5,62.0,3,5,3,1112
36,36,0.3,61.4,59.0,3,5,4,814
37,37,2.02,59.8,58.0,3,5,1,17825
38,38,2.0,61.1,60.0,3,3,1,13986
39,39,0.33,63.0,57.0,4,2,2,610
40,40,1.1,61.8,56.0,4,4,0,3745
41,41,0.56,61.7,56.0,2,5,3,1755
42,42,0.85,60.7,58.0,3,0,3,2295
